opus,key,performer,year,time,seconds,label,pid,status,piece_path,midi_filename,mp4_filename,mp3_filename,wav_filename,alignment_filename,performer_id
6.1,F# min,Hatto,1993,2:59,179,Con. Artist FED4-TC-0116/7,610003-03,-,mazurka06-1/pid610003-03,mazurka06-1/pid610003-03.mid,mazurka06-1/pid610003-03.mp4,mazurka06-1/pid610003-03.mp3,mazurka06-1/pid610003-03.wav,mazurka06-1/pid610003-03_infer_corresp.txt,14
6.1,F# min,Hatto,2006,3:02,182,Con. Artist 9270/12,9073-03,-,mazurka06-1/pid9073-03,mazurka06-1/pid9073-03.mid,mazurka06-1/pid9073-03.mp4,mazurka06-1/pid9073-03.mp3,mazurka06-1/pid9073-03.wav,mazurka06-1/pid9073-03_infer_corresp.txt,14
6.1,F# min,Indjic,1988,3:01,181,Calliope 3321,9050-01,-,mazurka06-1/pid9050-01,mazurka06-1/pid9050-01.mid,mazurka06-1/pid9050-01.mp4,mazurka06-1/pid9050-01.mp3,mazurka06-1/pid9050-01.wav,mazurka06-1/pid9050-01_infer_corresp.txt,15
6.1,F# min,Kushner,1990,2:34,154,Connoisseur CD4181/2,9118-01,-,mazurka06-1/pid9118-01,mazurka06-1/pid9118-01.mid,mazurka06-1/pid9118-01.mp4,mazurka06-1/pid9118-01.mp3,mazurka06-1/pid9118-01.wav,mazurka06-1/pid9118-01_infer_corresp.txt,16
6.1,F# min,Luisada,1990,3:09,189,DG 463054-2,9055-01,-,mazurka06-1/pid9055-01,mazurka06-1/pid9055-01.mid,mazurka06-1/pid9055-01.mp4,mazurka06-1/pid9055-01.mp3,mazurka06-1/pid9055-01.wav,mazurka06-1/pid9055-01_infer_corresp.txt,17
6.1,F# min,Magaloff,1977,3:01,181,Phillips 426 817/29-2,9074f-01,-,mazurka06-1/pid9074f-01,mazurka06-1/pid9074f-01.mid,mazurka06-1/pid9074f-01.mp4,mazurka06-1/pid9074f-01.mp3,mazurka06-1/pid9074f-01.wav,mazurka06-1/pid9074f-01_infer_corresp.txt,18
6.1,F# min,Magin,1975,2:51,171,Accord 465 665-2,9138-01,-,mazurka06-1/pid9138-01,mazurka06-1/pid9138-01.mid,mazurka06-1/pid9138-01.mp4,mazurka06-1/pid9138-01.mp3,mazurka06-1/pid9138-01.wav,mazurka06-1/pid9138-01_infer_corresp.txt,19
6.1,F# min,Milkina,1970,3:21,201,Unterschrift/EMI,9099-01,-,mazurka06-1/pid9099-01,mazurka06-1/pid9099-01.mid,mazurka06-1/pid9099-01.mp4,mazurka06-1/pid9099-01.mp3,mazurka06-1/pid9099-01.wav,mazurka06-1/pid9099-01_infer_corresp.txt,20
6.1,F# min,Mohovich,1999,3:11,191,Agora AG 231.2,9104-01,-,mazurka06-1/pid9104-01,mazurka06-1/pid9104-01.mid,mazurka06-1/pid9104-01.mp4,mazurka06-1/pid9104-01.mp3,mazurka06-1/pid9104-01.wav,mazurka06-1/pid9104-01_infer_corresp.txt,21
6.1,F# min,Ohlsson,1999,2:35,155,Arabesque Z6730-2,9153-01,-,mazurka06-1/pid9153-01,mazurka06-1/pid9153-01.mid,mazurka06-1/pid9153-01.mp4,mazurka06-1/pid9153-01.mp3,mazurka06-1/pid9153-01.wav,mazurka06-1/pid9153-01_infer_corresp.txt,22
6.1,F# min,Osinska,1989,3:07,187,Cassiopee 969 213/6,9101-01,-,mazurka06-1/pid9101-01,mazurka06-1/pid9101-01.mid,mazurka06-1/pid9101-01.mp4,mazurka06-1/pid9101-01.mp3,mazurka06-1/pid9101-01.wav,mazurka06-1/pid9101-01_infer_corresp.txt,23
6.1,F# min,Poblocka,1999,3:06,186,BeArTon CDB012/13,9093-01,-,mazurka06-1/pid9093-01,mazurka06-1/pid9093-01.mid,mazurka06-1/pid9093-01.mp4,mazurka06-1/pid9093-01.mp3,mazurka06-1/pid9093-01.wav,mazurka06-1/pid9093-01_infer_corresp.txt,24
6.1,F# min,Rangell,2001,2:45,165,Dorian DOR-93258,9094-01,-,mazurka06-1/pid9094-01,mazurka06-1/pid9094-01.mid,mazurka06-1/pid9094-01.mp4,mazurka06-1/pid9094-01.mp3,mazurka06-1/pid9094-01.wav,mazurka06-1/pid9094-01_infer_corresp.txt,25
6.1,F# min,Rubinstein,1939,2:00,120,Naxos 8.110656-57,9049-01,-,mazurka06-1/pid9049-01,mazurka06-1/pid9049-01.mid,mazurka06-1/pid9049-01.mp4,mazurka06-1/pid9049-01.mp3,mazurka06-1/pid9049-01.wav,mazurka06-1/pid9049-01_infer_corresp.txt,26
6.1,F# min,Rubinstein,1952,2:49,169,BMG 09026 63027-2,9075-01,-,mazurka06-1/pid9075-01,mazurka06-1/pid9075-01.mid,mazurka06-1/pid9075-01.mp4,mazurka06-1/pid9075-01.mp3,mazurka06-1/pid9075-01.wav,mazurka06-1/pid9075-01_infer_corresp.txt,26
6.1,F# min,Rubinstein,1966,2:37,157,BMG 09026-63050-2,9059-01,-,mazurka06-1/pid9059-01,mazurka06-1/pid9059-01.mid,mazurka06-1/pid9059-01.mp4,mazurka06-1/pid9059-01.mp3,mazurka06-1/pid9059-01.wav,mazurka06-1/pid9059-01_infer_corresp.txt,26
6.1,F# min,Shebanova,2002,3:07,187,DUX 0350/0351,9072-01,-,mazurka06-1/pid9072-01,mazurka06-1/pid9072-01.mid,mazurka06-1/pid9072-01.mp4,mazurka06-1/pid9072-01.mp3,mazurka06-1/pid9072-01.wav,mazurka06-1/pid9072-01_infer_corresp.txt,27
6.1,F# min,Smith,1975,2:15,135,EMI 724358576726,9054-01,-,mazurka06-1/pid9054-01,mazurka06-1/pid9054-01.mid,mazurka06-1/pid9054-01.mp4,mazurka06-1/pid9054-01.mp3,mazurka06-1/pid9054-01.wav,mazurka06-1/pid9054-01_infer_corresp.txt,28
6.1,F# min,Sztompka,1959,2:32,152,Muza PNOD 313 A/B,9170-01,-,mazurka06-1/pid9170-01,mazurka06-1/pid9170-01.mid,mazurka06-1/pid9170-01.mp4,mazurka06-1/pid9170-01.mp3,mazurka06-1/pid9170-01.wav,mazurka06-1/pid9170-01_infer_corresp.txt,29
6.1,F# min,Uninsky,1932,1:40,100,Muza PNCD006,9085-10,-,mazurka06-1/pid9085-10,mazurka06-1/pid9085-10.mid,mazurka06-1/pid9085-10.mp4,mazurka06-1/pid9085-10.mp3,mazurka06-1/pid9085-10.wav,mazurka06-1/pid9085-10_infer_corresp.txt,30
6.1,F# min,Uninsky,1959,1:47,107,Philips 442 574-2,9061-01,-,mazurka06-1/pid9061-01,mazurka06-1/pid9061-01.mid,mazurka06-1/pid9061-01.mp4,mazurka06-1/pid9061-01.mp3,mazurka06-1/pid9061-01.wav,mazurka06-1/pid9061-01_infer_corresp.txt,30
6.1,F# min,Wasowski,1980,2:10,130,Concord CCD-42036,9111-01,-,mazurka06-1/pid9111-01,mazurka06-1/pid9111-01.mid,mazurka06-1/pid9111-01.mp4,mazurka06-1/pid9111-01.mp3,mazurka06-1/pid9111-01.wav,mazurka06-1/pid9111-01_infer_corresp.txt,31
6.2,C# min,Ashkenazy,1981,2:28,148,Decca 448 086-2,9058-02,-,mazurka06-2/pid9058-02,mazurka06-2/pid9058-02.mid,mazurka06-2/pid9058-02.mp4,mazurka06-2/pid9058-02.mp3,mazurka06-2/pid9058-02.wav,mazurka06-2/pid9058-02_infer_corresp.txt,0
6.2,C# min,Bacha,1997,2:22,142,Forlane 126817,9166c-04,-,mazurka06-2/pid9166c-04,mazurka06-2/pid9166c-04.mid,mazurka06-2/pid9166c-04.mp4,mazurka06-2/pid9166c-04.mp3,mazurka06-2/pid9166c-04.wav,mazurka06-2/pid9166c-04_infer_corresp.txt,1
6.2,C# min,Barbosa,1983,2:36,156,Centaur CRC2098/9,9174-02,-,mazurka06-2/pid9174-02,mazurka06-2/pid9174-02.mid,mazurka06-2/pid9174-02.mp4,mazurka06-2/pid9174-02.mp3,mazurka06-2/pid9174-02.wav,mazurka06-2/pid9174-02_infer_corresp.txt,2
6.2,C# min,Biret,1990,3:00,180,Naxos 8.550359,9062-02,-,mazurka06-2/pid9062-02,mazurka06-2/pid9062-02.mid,mazurka06-2/pid9062-02.mp4,mazurka06-2/pid9062-02.mp3,mazurka06-2/pid9062-02.wav,mazurka06-2/pid9062-02_infer_corresp.txt,3
6.2,C# min,Brailowsky,1960,2:34,154,Sony SB2K 63237,9060-02,-,mazurka06-2/pid9060-02,mazurka06-2/pid9060-02.mid,mazurka06-2/pid9060-02.mp4,mazurka06-2/pid9060-02.mp3,mazurka06-2/pid9060-02.wav,mazurka06-2/pid9060-02_infer_corresp.txt,4
6.2,C# min,Chiu,1999,2:42,162,HMX 2907352.53,9048-02,-,mazurka06-2/pid9048-02,mazurka06-2/pid9048-02.mid,mazurka06-2/pid9048-02.mp4,mazurka06-2/pid9048-02.mp3,mazurka06-2/pid9048-02.wav,mazurka06-2/pid9048-02_infer_corresp.txt,5
6.2,C# min,Cohen,1997,2:41,161,Glossa 920506 ,9105-02,-,mazurka06-2/pid9105-02,mazurka06-2/pid9105-02.mid,mazurka06-2/pid9105-02.mp4,mazurka06-2/pid9105-02.mp3,mazurka06-2/pid9105-02.wav,mazurka06-2/pid9105-02_infer_corresp.txt,6
6.2,C# min,Cortot,1951,2:40,160,Concert Artist 9180/12 ,9066-02,-,mazurka06-2/pid9066-02,mazurka06-2/pid9066-02.mid,mazurka06-2/pid9066-02.mp4,mazurka06-2/pid9066-02.mp3,mazurka06-2/pid9066-02.wav,mazurka06-2/pid9066-02_infer_corresp.txt,7
6.2,C# min,Csalog,1996,3:23,203,Hungaroton HCD 31755/6,1263-02,-,mazurka06-2/pid1263-02,mazurka06-2/pid1263-02.mid,mazurka06-2/pid1263-02.mp4,mazurka06-2/pid1263-02.mp3,mazurka06-2/pid1263-02.wav,mazurka06-2/pid1263-02_infer_corresp.txt,8
6.2,C# min,Czerny-Stefanska,1989,2:21,141,Pony Canyon Classics PCCL-00460,9192-02,-,mazurka06-2/pid9192-02,mazurka06-2/pid9192-02.mid,mazurka06-2/pid9192-02.mp4,mazurka06-2/pid9192-02.mp3,mazurka06-2/pid9192-02.wav,mazurka06-2/pid9192-02_infer_corresp.txt,9
6.2,C# min,Ezaki,2006,2:39,159,Triton OVCT-00035,9139-02,-,mazurka06-2/pid9139-02,mazurka06-2/pid9139-02.mid,mazurka06-2/pid9139-02.mp4,mazurka06-2/pid9139-02.mp3,mazurka06-2/pid9139-02.wav,mazurka06-2/pid9139-02_infer_corresp.txt,10
6.2,C# min,Fliere,1977,2:41,161,Melodia 10 00439,9063-02,-,mazurka06-2/pid9063-02,mazurka06-2/pid9063-02.mid,mazurka06-2/pid9063-02.mp4,mazurka06-2/pid9063-02.mp3,mazurka06-2/pid9063-02.wav,mazurka06-2/pid9063-02_infer_corresp.txt,11
6.2,C# min,Fou,1978,2:45,165,Sony SB2K 53 246,9071-07,-,mazurka06-2/pid9071-07,mazurka06-2/pid9071-07.mid,mazurka06-2/pid9071-07.mp4,mazurka06-2/pid9071-07.mp3,mazurka06-2/pid9071-07.wav,mazurka06-2/pid9071-07_infer_corresp.txt,12
6.2,C# min,Francois,1956,1:36,96,EMI CZS 7 67413 2,9070-10,-,mazurka06-2/pid9070-10,mazurka06-2/pid9070-10.mid,mazurka06-2/pid9070-10.mp4,mazurka06-2/pid9070-10.mp3,mazurka06-2/pid9070-10.wav,mazurka06-2/pid9070-10_infer_corresp.txt,13
6.2,C# min,Hatto,1993,2:48,168,Con. Artist FED4-TC-0116/7,610003-04,-,mazurka06-2/pid610003-04,mazurka06-2/pid610003-04.mid,mazurka06-2/pid610003-04.mp4,mazurka06-2/pid610003-04.mp3,mazurka06-2/pid610003-04.wav,mazurka06-2/pid610003-04_infer_corresp.txt,14
6.2,C# min,Hatto,2006,2:45,165,Con. Artist 9270/12,9073-04,-,mazurka06-2/pid9073-04,mazurka06-2/pid9073-04.mid,mazurka06-2/pid9073-04.mp4,mazurka06-2/pid9073-04.mp3,mazurka06-2/pid9073-04.wav,mazurka06-2/pid9073-04_infer_corresp.txt,14
6.2,C# min,Indjic,1988,2:46,166,Calliope 3321,9050-02,-,mazurka06-2/pid9050-02,mazurka06-2/pid9050-02.mid,mazurka06-2/pid9050-02.mp4,mazurka06-2/pid9050-02.mp3,mazurka06-2/pid9050-02.wav,mazurka06-2/pid9050-02_infer_corresp.txt,15
6.2,C# min,Kushner,1990,2:31,151,Connoisseur CD4181/2,9118-02,-,mazurka06-2/pid9118-02,mazurka06-2/pid9118-02.mid,mazurka06-2/pid9118-02.mp4,mazurka06-2/pid9118-02.mp3,mazurka06-2/pid9118-02.wav,mazurka06-2/pid9118-02_infer_corresp.txt,16
6.2,C# min,Luisada,1990,2:31,151,DG 463054-2,9055-02,-,mazurka06-2/pid9055-02,mazurka06-2/pid9055-02.mid,mazurka06-2/pid9055-02.mp4,mazurka06-2/pid9055-02.mp3,mazurka06-2/pid9055-02.wav,mazurka06-2/pid9055-02_infer_corresp.txt,17
6.2,C# min,Magaloff,1977,2:46,166,Phillips 426 817/29-2,9074f-02,-,mazurka06-2/pid9074f-02,mazurka06-2/pid9074f-02.mid,mazurka06-2/pid9074f-02.mp4,mazurka06-2/pid9074f-02.mp3,mazurka06-2/pid9074f-02.wav,mazurka06-2/pid9074f-02_infer_corresp.txt,18
6.2,C# min,Magin,1975,2:16,136,Accord 465 665-2,9138-02,-,mazurka06-2/pid9138-02,mazurka06-2/pid9138-02.mid,mazurka06-2/pid9138-02.mp4,mazurka06-2/pid9138-02.mp3,mazurka06-2/pid9138-02.wav,mazurka06-2/pid9138-02_infer_corresp.txt,19
6.2,C# min,Milkina,1970,2:30,150,Unterschrift/EMI,9099-02,-,mazurka06-2/pid9099-02,mazurka06-2/pid9099-02.mid,mazurka06-2/pid9099-02.mp4,mazurka06-2/pid9099-02.mp3,mazurka06-2/pid9099-02.wav,mazurka06-2/pid9099-02_infer_corresp.txt,20
6.2,C# min,Mohovich,1999,2:42,162,Agora AG 231.2,9104-02,-,mazurka06-2/pid9104-02,mazurka06-2/pid9104-02.mid,mazurka06-2/pid9104-02.mp4,mazurka06-2/pid9104-02.mp3,mazurka06-2/pid9104-02.wav,mazurka06-2/pid9104-02_infer_corresp.txt,21
6.2,C# min,Ohlsson,1999,2:37,157,Arabesque Z6730-2,9153-02,-,mazurka06-2/pid9153-02,mazurka06-2/pid9153-02.mid,mazurka06-2/pid9153-02.mp4,mazurka06-2/pid9153-02.mp3,mazurka06-2/pid9153-02.wav,mazurka06-2/pid9153-02_infer_corresp.txt,22
6.2,C# min,Osinska,1989,2:29,149,Cassiopee 969 213/6,9101-02,-,mazurka06-2/pid9101-02,mazurka06-2/pid9101-02.mid,mazurka06-2/pid9101-02.mp4,mazurka06-2/pid9101-02.mp3,mazurka06-2/pid9101-02.wav,mazurka06-2/pid9101-02_infer_corresp.txt,23
6.2,C# min,Poblocka,1999,2:25,145,BeArTon CDB012/13,9093-02,-,mazurka06-2/pid9093-02,mazurka06-2/pid9093-02.mid,mazurka06-2/pid9093-02.mp4,mazurka06-2/pid9093-02.mp3,mazurka06-2/pid9093-02.wav,mazurka06-2/pid9093-02_infer_corresp.txt,24
6.2,C# min,Rangell,2001,2:00,120,Dorian DOR-93258,9094-02,-,mazurka06-2/pid9094-02,mazurka06-2/pid9094-02.mid,mazurka06-2/pid9094-02.mp4,mazurka06-2/pid9094-02.mp3,mazurka06-2/pid9094-02.wav,mazurka06-2/pid9094-02_infer_corresp.txt,25
6.2,C# min,Rubinstein,1939,2:28,148,Naxos 8.110656-57,9049-02,-,mazurka06-2/pid9049-02,mazurka06-2/pid9049-02.mid,mazurka06-2/pid9049-02.mp4,mazurka06-2/pid9049-02.mp3,mazurka06-2/pid9049-02.wav,mazurka06-2/pid9049-02_infer_corresp.txt,26
6.2,C# min,Rubinstein,1952,2:22,142,BMG 09026 63027-2,9075-02,-,mazurka06-2/pid9075-02,mazurka06-2/pid9075-02.mid,mazurka06-2/pid9075-02.mp4,mazurka06-2/pid9075-02.mp3,mazurka06-2/pid9075-02.wav,mazurka06-2/pid9075-02_infer_corresp.txt,26
6.2,C# min,Rubinstein,1966,2:42,162,BMG 09026-63050-2,9059-02,-,mazurka06-2/pid9059-02,mazurka06-2/pid9059-02.mid,mazurka06-2/pid9059-02.mp4,mazurka06-2/pid9059-02.mp3,mazurka06-2/pid9059-02.wav,mazurka06-2/pid9059-02_infer_corresp.txt,26
6.2,C# min,Shebanova,2002,2:25,145,DUX 0350/0351,9072-02,-,mazurka06-2/pid9072-02,mazurka06-2/pid9072-02.mid,mazurka06-2/pid9072-02.mp4,mazurka06-2/pid9072-02.mp3,mazurka06-2/pid9072-02.wav,mazurka06-2/pid9072-02_infer_corresp.txt,27
6.2,C# min,Smith,1975,2:50,170,EMI 724358576726,9054-02,-,mazurka06-2/pid9054-02,mazurka06-2/pid9054-02.mid,mazurka06-2/pid9054-02.mp4,mazurka06-2/pid9054-02.mp3,mazurka06-2/pid9054-02.wav,mazurka06-2/pid9054-02_infer_corresp.txt,28
6.2,C# min,Uninsky,1971,2:04,124,Philips 442 574-2,9061-02,-,mazurka06-2/pid9061-02,mazurka06-2/pid9061-02.mid,mazurka06-2/pid9061-02.mp4,mazurka06-2/pid9061-02.mp3,mazurka06-2/pid9061-02.wav,mazurka06-2/pid9061-02_infer_corresp.txt,30
6.2,C# min,Wasowski,1980,2:06,126,Concord CCD-42036,9111-02,-,mazurka06-2/pid9111-02,mazurka06-2/pid9111-02.mid,mazurka06-2/pid9111-02.mp4,mazurka06-2/pid9111-02.mp3,mazurka06-2/pid9111-02.wav,mazurka06-2/pid9111-02_infer_corresp.txt,31
6.3,E maj,Ashkenazy,1981,1:36,96,Decca 448 086-2,9058-03,-,mazurka06-3/pid9058-03,mazurka06-3/pid9058-03.mid,mazurka06-3/pid9058-03.mp4,mazurka06-3/pid9058-03.mp3,mazurka06-3/pid9058-03.wav,mazurka06-3/pid9058-03_infer_corresp.txt,0
6.3,E maj,Bacha,1997,1:35,95,Forlane 126817,9166c-05,-,mazurka06-3/pid9166c-05,mazurka06-3/pid9166c-05.mid,mazurka06-3/pid9166c-05.mp4,mazurka06-3/pid9166c-05.mp3,mazurka06-3/pid9166c-05.wav,mazurka06-3/pid9166c-05_infer_corresp.txt,1
6.3,E maj,Barbosa,1983,1:40,100,Centaur CRC2098/9,9174-03,-,mazurka06-3/pid9174-03,mazurka06-3/pid9174-03.mid,mazurka06-3/pid9174-03.mp4,mazurka06-3/pid9174-03.mp3,mazurka06-3/pid9174-03.wav,mazurka06-3/pid9174-03_infer_corresp.txt,2
6.3,E maj,Biret,1990,2:09,129,Naxos 8.550359,9062-03,-,mazurka06-3/pid9062-03,mazurka06-3/pid9062-03.mid,mazurka06-3/pid9062-03.mp4,mazurka06-3/pid9062-03.mp3,mazurka06-3/pid9062-03.wav,mazurka06-3/pid9062-03_infer_corresp.txt,3
6.3,E maj,Brailowsky,1960,1:55,115,Sony SB2K 63237,9060-03,-,mazurka06-3/pid9060-03,mazurka06-3/pid9060-03.mid,mazurka06-3/pid9060-03.mp4,mazurka06-3/pid9060-03.mp3,mazurka06-3/pid9060-03.wav,mazurka06-3/pid9060-03_infer_corresp.txt,4
6.3,E maj,Chiu,1999,2:09,129,HMX 2907352.53,9048-03,-,mazurka06-3/pid9048-03,mazurka06-3/pid9048-03.mid,mazurka06-3/pid9048-03.mp4,mazurka06-3/pid9048-03.mp3,mazurka06-3/pid9048-03.wav,mazurka06-3/pid9048-03_infer_corresp.txt,5
6.3,E maj,Cohen,1997,1:50,110,Glossa 920506 ,9105-03,-,mazurka06-3/pid9105-03,mazurka06-3/pid9105-03.mid,mazurka06-3/pid9105-03.mp4,mazurka06-3/pid9105-03.mp3,mazurka06-3/pid9105-03.wav,mazurka06-3/pid9105-03_infer_corresp.txt,6
6.3,E maj,Cortot,1951,2:04,124,Concert Artist 9180/12 ,9066-03,-,mazurka06-3/pid9066-03,mazurka06-3/pid9066-03.mid,mazurka06-3/pid9066-03.mp4,mazurka06-3/pid9066-03.mp3,mazurka06-3/pid9066-03.wav,mazurka06-3/pid9066-03_infer_corresp.txt,7
6.3,E maj,Csalog,1996,1:43,103,Hungaroton HCD 31755/6,1263-03,-,mazurka06-3/pid1263-03,mazurka06-3/pid1263-03.mid,mazurka06-3/pid1263-03.mp4,mazurka06-3/pid1263-03.mp3,mazurka06-3/pid1263-03.wav,mazurka06-3/pid1263-03_infer_corresp.txt,8
6.3,E maj,Czerny-Stefanska,1989,2:17,137,Pony Canyon Classics PCCL-00460,9192-03,-,mazurka06-3/pid9192-03,mazurka06-3/pid9192-03.mid,mazurka06-3/pid9192-03.mp4,mazurka06-3/pid9192-03.mp3,mazurka06-3/pid9192-03.wav,mazurka06-3/pid9192-03_infer_corresp.txt,9
6.3,E maj,Ezaki,2006,1:49,109,Triton OVCT-00035,9139-03,-,mazurka06-3/pid9139-03,mazurka06-3/pid9139-03.mid,mazurka06-3/pid9139-03.mp4,mazurka06-3/pid9139-03.mp3,mazurka06-3/pid9139-03.wav,mazurka06-3/pid9139-03_infer_corresp.txt,10
6.3,E maj,Fliere,1977,1:44,104,Melodia 10 00439,9063-03,-,mazurka06-3/pid9063-03,mazurka06-3/pid9063-03.mid,mazurka06-3/pid9063-03.mp4,mazurka06-3/pid9063-03.mp3,mazurka06-3/pid9063-03.wav,mazurka06-3/pid9063-03_infer_corresp.txt,11
6.3,E maj,Fou,1978,1:55,115,Sony SB2K 53 246,9071-08,-,mazurka06-3/pid9071-08,mazurka06-3/pid9071-08.mid,mazurka06-3/pid9071-08.mp4,mazurka06-3/pid9071-08.mp3,mazurka06-3/pid9071-08.wav,mazurka06-3/pid9071-08_infer_corresp.txt,12
6.3,E maj,Francois,1956,1:32,92,EMI CZS 7 67413 2,9070-11,-,mazurka06-3/pid9070-11,mazurka06-3/pid9070-11.mid,mazurka06-3/pid9070-11.mp4,mazurka06-3/pid9070-11.mp3,mazurka06-3/pid9070-11.wav,mazurka06-3/pid9070-11_infer_corresp.txt,13
6.3,E maj,Hatto,1993,1:55,115,Con. Artist FED4-TC-0116/7,610003-05,-,mazurka06-3/pid610003-05,mazurka06-3/pid610003-05.mid,mazurka06-3/pid610003-05.mp4,mazurka06-3/pid610003-05.mp3,mazurka06-3/pid610003-05.wav,mazurka06-3/pid610003-05_infer_corresp.txt,14
6.3,E maj,Hatto,2006,1:52,112,Con. Artist 9270/12,9073-05,-,mazurka06-3/pid9073-05,mazurka06-3/pid9073-05.mid,mazurka06-3/pid9073-05.mp4,mazurka06-3/pid9073-05.mp3,mazurka06-3/pid9073-05.wav,mazurka06-3/pid9073-05_infer_corresp.txt,14
6.3,E maj,Indjic,1988,1:55,115,Calliope 3321,9050-03,-,mazurka06-3/pid9050-03,mazurka06-3/pid9050-03.mid,mazurka06-3/pid9050-03.mp4,mazurka06-3/pid9050-03.mp3,mazurka06-3/pid9050-03.wav,mazurka06-3/pid9050-03_infer_corresp.txt,15
