artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links,align_file,type,label
Sviatoslav Richter,4,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo: Allegro",228.8,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05847.mid",https://www.youtube.com/watch?v=6lY_nQX_6Yc,"train/Sviatoslav Richter/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/4_infer_corresp.txt",train,150
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: IV. Rondo: Allegro",246.533,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05848.mid",https://www.youtube.com/watch?v=VNqeus8fyAc,"train/Sviatoslav Richter/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/5_infer_corresp.txt",train,150
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: IV. Rondo: Allegro",244.533,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05849.mid",https://www.youtube.com/watch?v=EEn-3B_ZgXc,"valid/Sviatoslav Richter/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/6_infer_corresp.txt",valid,150
Daniel Barenboim,2,"Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",241.56,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05863.mid",https://www.youtube.com/watch?v=cLRbXKPFnUk,"train/Daniel Barenboim/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/24_infer_corresp.txt",train,83
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: 4. Rondo. Allegro",263.306,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05865.mid",https://www.youtube.com/watch?v=1PalQKAKh5I,"train/Daniel Barenboim/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/27_infer_corresp.txt",train,83
Daniel Barenboim,2,"Piano Sonata No. 7 In D Major, Op. 10, No. 3: 4. Rondo (Allegro)",247.04,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05866.mid",https://www.youtube.com/watch?v=kXt-HEaO40E,"valid/Daniel Barenboim/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/28_infer_corresp.txt",valid,83
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",243.693,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05868.mid",https://www.youtube.com/watch?v=vH4C_vrWS-I,"train/Claudio Arrau/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/30_infer_corresp.txt",train,48
Claudio Arrau,1,"Piano Sonata No.7 in D, Op.10 No.3: 4. Rondo (Allegro)",250.0,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05869.mid",https://www.youtube.com/watch?v=abeow0dLZc0,"train/Claudio Arrau/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/32_infer_corresp.txt",train,48
Claudio Arrau,1,"Piano Sonata No.7 in D, Op.10 No.3: 4. Rondo (Allegro)",250.986,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05872.mid",https://www.youtube.com/watch?v=kk7hoIavGdg,"valid/Claudio Arrau/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/36_infer_corresp.txt",valid,48
Alfred Brendel,0,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",230.0,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05877.mid",https://www.youtube.com/watch?v=AsvrPGQ--T8,"train/Alfred Brendel/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/44_infer_corresp.txt",train,12
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 4. Rondo (Allegro)",248.96,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05878.mid",https://www.youtube.com/watch?v=TaH5o-wy82A,"train/Alfred Brendel/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/45_infer_corresp.txt",train,12
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 4. Rondo (Allegro)",248.026,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05879.mid",https://www.youtube.com/watch?v=k1oov3K4_hg,"valid/Alfred Brendel/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/46_infer_corresp.txt",valid,12
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",215.986,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05882.mid",https://www.youtube.com/watch?v=toJJHrZRMFI,"train/Friedrich Gulda/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/50_infer_corresp.txt",train,114
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",225.653,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05883.mid",https://www.youtube.com/watch?v=gBYYhc4EFdw,"train/Friedrich Gulda/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/51_infer_corresp.txt",train,114
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo: Allegro",213.346,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05884.mid",https://www.youtube.com/watch?v=shS-SBkQfCw,"valid/Friedrich Gulda/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/52_infer_corresp.txt",valid,114
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",237.065,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05885.mid",https://www.youtube.com/watch?v=hY_7Ifp054Q,"train/Wilhelm Kempff/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/54_infer_corresp.txt",train,185
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",235.0,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05886.mid",https://www.youtube.com/watch?v=3olBNq3cLAY,"train/Wilhelm Kempff/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/55_infer_corresp.txt",train,185
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo (Allegro)",239.0,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05887.mid",https://www.youtube.com/watch?v=oerhWV0oiLo,"valid/Wilhelm Kempff/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/56_infer_corresp.txt",valid,185
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: II. Largo e Mesto",509.333,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05896.mid",https://www.youtube.com/watch?v=s2eKHX63J28,"train/Sviatoslav Richter/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/5_infer_corresp.txt",train,161
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: II. Largo e mesto",507.333,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05897.mid",https://www.youtube.com/watch?v=liZt8w4jrJg,"train/Sviatoslav Richter/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/6_infer_corresp.txt",train,161
Sviatoslav Richter,4,"Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",491.16,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05898.mid",https://www.youtube.com/watch?v=JgBZtRHOXL4,"valid/Sviatoslav Richter/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/7_infer_corresp.txt",valid,161
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",592.64,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05910.mid",https://www.youtube.com/watch?v=3aNR_XQ2_y8,"train/Daniel Barenboim/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/22_infer_corresp.txt",train,92
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: 2. Largo e mesto",646.493,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05912.mid",https://www.youtube.com/watch?v=EOz7WnFctBY,"train/Daniel Barenboim/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/24_infer_corresp.txt",train,92
Daniel Barenboim,2,"Piano Sonata No. 7 In D Major, Op. 10, No. 3: 2. Largo e mesto",603.2,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05913.mid",https://www.youtube.com/watch?v=Zygpfc6T6KQ,"valid/Daniel Barenboim/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/25_infer_corresp.txt",valid,92
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",618.066,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05914.mid",https://www.youtube.com/watch?v=aEwVHGmB1cI,"train/Claudio Arrau/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/26_infer_corresp.txt",train,59
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",619.68,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05915.mid",https://www.youtube.com/watch?v=8K7E6G0SES0,"train/Claudio Arrau/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/27_infer_corresp.txt",train,59
Claudio Arrau,1,"Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",618.12,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05917.mid",https://www.youtube.com/watch?v=nubl_ZSCzlc,"valid/Claudio Arrau/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/31_infer_corresp.txt",valid,59
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 2. Largo e mesto",642.026,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05925.mid",https://www.youtube.com/watch?v=5TE2fzVIbhA,"train/Alfred Brendel/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/41_infer_corresp.txt",train,23
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 2. Largo e mesto",629.0,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05927.mid",https://www.youtube.com/watch?v=nQtcCIC6w28,"train/Alfred Brendel/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/43_infer_corresp.txt",train,23
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 2. Largo e mesto",630.0,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05928.mid",https://www.youtube.com/watch?v=WbCqlqK-r38,"valid/Alfred Brendel/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/44_infer_corresp.txt",valid,23
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",482.0,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05930.mid",https://www.youtube.com/watch?v=nnEC1aBu9z4,"train/Friedrich Gulda/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/46_infer_corresp.txt",train,125
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",557.693,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05931.mid",https://www.youtube.com/watch?v=uNVTVj0Ni8A,"train/Friedrich Gulda/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/47_infer_corresp.txt",train,125
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",483.533,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05932.mid",https://www.youtube.com/watch?v=fSIg18mZWak,"valid/Friedrich Gulda/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/48_infer_corresp.txt",valid,125
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",524.48,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05933.mid",https://www.youtube.com/watch?v=4g2JbIwKE5I,"train/Wilhelm Kempff/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/49_infer_corresp.txt",train,196
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",525.0,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05934.mid",https://www.youtube.com/watch?v=Pldf8DeL7qM,"valid/Wilhelm Kempff/Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/52_infer_corresp.txt",valid,196
